domain,title,organization,rating,reviews,level,course_type,duration,url
Data Science,"Python pour la science des données, l'IA et le développement",IBM,"4,6",43 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/python-for-applied-data-science-ai
Data Science,Qu'est-ce que la science des données ?,IBM,"4,7",77 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/what-is-datascience
Data Science,Science des données IBM,IBM,"4,6",149 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ibm-data-science
Data Science,Introduction à la science des données,IBM,"4,6",102 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/introduction-data-science
Data Science,Fondements de la science des données,Google,"4,7","3,8 k avis",Avancées,Cours,1 à 3 mois,https://www.coursera.org/learn/foundations-of-data-science
Data Science,Bases de données et SQL pour la science des données avec Python,IBM,"4,7",23 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/sql-data-science
Data Science,Science des données,Johns Hopkins University,"4,5",51 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/jhu-data-science
Data Science,SQL pour la Science des Données,"University of California, Davis","4,6",17 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/sql-for-data-science
Data Science,Introduction à la science des données en Python,University of Michigan,"4,5",27 k avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-data-analysis
Data Science,Science des Données Appliquée avec Python,University of Michigan,"4,5",34 k avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-science-python
Data Science,Fondamentaux de la science des données avec Python et SQL,IBM,"4,6",75 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
Data Science,Analyse des Données avec Python,IBM,"4,7",20 k avis,Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/data-analysis-with-python
Data Science,Projet Python pour la science des données,IBM,"4,5","4,8 k avis",Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-project-for-data-science
Data Science,Compétences mathématiques de science des données,Duke University,"4,5",13 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/datasciencemathskills
Data Science,Data Science Foundations,Plusieurs enseignants,"4,6",117 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-science-foundations
