title;url;rating;num_reviews;num_students;duration;level;platform;instructor
Healthcare Quality Management Using ISO 9001;https://www.udemy.com/course/healthcare-quality-management-using-iso-9001/;4.7;22;0;1.5 hours;All Levels;Udemy;7Qs Quality Solutions
Revenue Cycle Management and Medical Billing for Beginners;https://www.udemy.com/course/revenue-cycle-management-medical-billing-course/;4.6;567;0;2.5 hours;Beginner;Udemy;RCM Academy
Certification in Revenue Cycle Management in Healthcare 2025;https://www.udemy.com/course/certification-in-revenue-cycle-management-in-healthcare-by-getonto/;4.6;120;0;1.5 hours;Beginner;Udemy;Getonto Inc.
Patient Experience, Measure What Matters, Plain & Simple;https://www.udemy.com/course/h26-patient-experience-hcahps-plain-simple/;4.4;139;0;2.0 hours;All Levels;Udemy;Thomas Giordano
Health Data and Electronic Health Records(EHR) for Beginners;https://www.udemy.com/course/electronic-health-records/;4.6;18;0;3.5 hours;All Levels;Udemy;RCM Academy
Diploma in Health and Social Care (UK) Accredited;https://www.udemy.com/course/master-course-social-worker-caregiving-elderly-support/;4.4;105;0;12.0 hours;All Levels;Udemy;HeartbeatsZ Academy, UK
Medical Virtual Assistance (MVA) Certification Course;https://www.udemy.com/course/medical-virtual-assistance-mva-certification-course/;4.4;88;0;7.0 hours;All Levels;Udemy;Shelmith Mwangi
Certificate in Medical Records Management;https://www.udemy.com/course/certificate-in-medical-records-management/;4.3;174;0;2.0 hours;All Levels;Udemy;Billiard Training Academy
Data Analysis for Healthcare Professionals (Beginner Level);https://www.udemy.com/course/data-analysis-for-healthcare-professionals-beginner-level/;4.6;6;0;1.0 hours;Beginner;Udemy;Marine Sargsyan
Master Course in Healthcare Leadership & Clinical Leadership;https://www.udemy.com/course/healthcare-leadership-clinical-leadership/;4.2;145;0;1.0 hours;All Levels;Udemy;Dr. José Prabhu J
Medical Receptionist & Administrative Assistant Masterclass;https://www.udemy.com/course/medical-receptionist/;4.5;88;0;2.0 hours;All Levels;Udemy;RCM Academy
Mastering Generative AI for Pharma and Healthcare;https://www.udemy.com/course/generative-ai-for-leaders-in-pharma-healthcare/;4.3;121;0;10.0 hours;Intermediate;Udemy;Access Health Academy
Certificate in Infection Prevention and Control;https://www.udemy.com/course/certificate-in-infection-prevention-and-control/;4.5;229;0;10.0 hours;All Levels;Udemy;Billiard Training Academy
Master Pathophysiology: Understand Disease Mechanisms;https://www.udemy.com/course/master-pathophysiology-understand-disease-mechanisms/;4.7;22;0;6.0 hours;All Levels;Udemy;ISO Horizon
US Healthcare Provider Credentialing & Payer Enrollment 101;https://www.udemy.com/course/credentialing-enrollment/;4.4;40;0;3.5 hours;All Levels;Udemy;RCM Academy
Certified Prompt Engineer for Healthcare & Medical AI (PEHM);https://www.udemy.com/course/certified-prompt-engineer-for-healthcare-medical-ai/;3.9;26;0;7.0 hours;All Levels;Udemy;YouAccel Training
CompTIA Healthcare IT;https://www.udemy.com/course/comptia-healthcare-it/;4.5;2400;0;4.0 hours;All Levels;Udemy;Stone River eLearning
Create Machine Learning Models in Microsoft Azure;https://www.coursera.org/learn/create-machine-learning-models-in-microsoft-azure;4.5;326;0;Course · 1 - 4 Weeks;Intermediate;Coursera;Microsoft
Machine Learning Capstone;https://www.coursera.org/learn/machine-learning-capstone;4.7;192;0;Course · 1 - 3 Months;Advanced;Coursera;IBM
Microsoft Azure Machine Learning;https://www.coursera.org/learn/microsoft-azure-machine-learning;4.4;284;0;Course · 1 - 4 Weeks;Beginner;Coursera;Microsoft
Calculus for Machine Learning and Data Science;https://www.coursera.org/learn/machine-learning-calculus;4.8;944;0;Course · 1 - 4 Weeks;Intermediate;Coursera;DeepLearning.AI
SAS Machine Learning Engineer;https://www.coursera.org/professional-certificates/sas-machine-learning-engineer;4.7;103;0;Professional Certificate · 3 - 6 Months;Advanced;Coursera;SAS
Applied Machine Learning;https://www.coursera.org/specializations/applied-machine-learning;3.5;14;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Johns Hopkins University
IBM AI Engineering;https://www.coursera.org/professional-certificates/ai-engineer;4.6;22000;0;Professional Certificate · 3 - 6 Months;Intermediate;Coursera;IBM
Introduction to AI and Machine Learning on Google Cloud;https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud;4.6;316;0;Course · 1 - 3 Months;Beginner;Coursera;Google Cloud
Probability & Statistics for Machine Learning & Data Science;https://www.coursera.org/learn/machine-learning-probability-and-statistics;4.6;675;0;Course · 1 - 4 Weeks;Intermediate;Coursera;DeepLearning.AI
Machine Learning Introduction for Everyone;https://www.coursera.org/learn/machine-learning-introduction-for-everyone;4.6;304;0;Course · 1 - 4 Weeks;Beginner;Coursera;IBM
Preparing for Google Cloud Certification: Machine Learning Engineer;https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate;4.4;4900;0;Professional Certificate · 3 - 6 Months;Intermediate;Coursera;Google Cloud
Machine Learning;https://www.coursera.org/learn/machine-learning-1;3.6;7;0;Course · 1 - 3 Months;Beginner;Coursera;O.P. Jindal Global University
Applied Machine Learning in Python;https://www.coursera.org/learn/python-machine-learning;4.6;8800;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Michigan
Foundations of Machine Learning;https://www.coursera.org/learn/foundations-of-machine-learning-1;4.6;10;0;Course · 1 - 4 Weeks;Intermediate;Coursera;Coursera
AI and Machine Learning Essentials with Python;https://www.coursera.org/specializations/ai-machinelearning-essentials;4.5;42;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Pennsylvania
Introduction to Embedded Machine Learning;https://www.coursera.org/learn/introduction-to-embedded-machine-learning;4.8;751;0;Course · 1 - 4 Weeks;Intermediate;Coursera;Edge Impulse
Foundations of Data Science;https://www.coursera.org/learn/foundations-of-data-science;4.7;3800;0;Course · 1 - 3 Months;Advanced;Coursera;Google
IBM Data Science;https://www.coursera.org/professional-certificates/ibm-data-science;4.6;149000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;IBM
Machine Learning Pipelines with Azure ML Studio;https://www.coursera.org/projects/azure-machine-learning-studio-pipeline;4.5;823;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Machine Learning Basics;https://www.coursera.org/learn/machine-learning-basics;4.4;91;0;Course · 1 - 4 Weeks;Mixed;Coursera;Sungkyunkwan University
Mathematics for Machine Learning: Linear Algebra;https://www.coursera.org/learn/linear-algebra-machine-learning;4.6;13000;0;Course · 1 - 3 Months;Beginner;Coursera;Imperial College London
Foundations of AI and Machine Learning;https://www.coursera.org/learn/foundations-of-ai-and-machine-learning;4.6;239;0;Course · 1 - 3 Months;Intermediate;Coursera;Microsoft
Machine Learning on Google Cloud;https://www.coursera.org/specializations/machine-learning-tensorflow-gcp;4.4;3800;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Google Cloud
AI For Everyone;https://www.coursera.org/learn/ai-for-everyone;4.8;52000;0;Course · 1 - 4 Weeks;Beginner;Coursera;DeepLearning.AI
Machine Learning: Algorithms in the Real World;https://www.coursera.org/specializations/machine-learning-algorithms-real-world;4.6;1100;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Alberta Machine Intelligence Institute
Exploratory Data Analysis for Machine Learning;https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning;4.6;2500;0;Course · 1 - 3 Months;Intermediate;Coursera;IBM
Advanced Machine Learning on Google Cloud;https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp;4.5;1500;0;Specialization · 3 - 6 Months;Advanced;Coursera;Google Cloud
Machine Learning for Trading;https://www.coursera.org/specializations/machine-learning-trading;3.8;1200;0;Specialization · 1 - 3 Months;Intermediate;Coursera;Multiple educators
Developing Machine Learning Solutions;https://www.coursera.org/learn/developing-machine-learning-solutions;4.5;104;0;Course · 1 - 4 Weeks;Beginner;Coursera;Amazon Web Services
Machine Learning: Concepts and Applications;https://www.coursera.org/learn/machine-learning-applications;3.9;25;0;Course · 1 - 3 Months;Intermediate;Coursera;The University of Chicago
Introduction to Machine Learning with Python;https://www.coursera.org/learn/introduction-to-machine-learning-with-python;3.6;24;0;Course · 1 - 4 Weeks;Beginner;Coursera;Arizona State University
Machine Learning for Data Analysis;https://www.coursera.org/learn/machine-learning-data-analysis;4.2;328;0;Course · 1 - 4 Weeks;Mixed;Coursera;Wesleyan University
Data Science Fundamentals with Python and SQL;https://www.coursera.org/specializations/data-science-fundamentals-python-sql;4.6;75000;0;Specialization · 3 - 6 Months;Beginner;Coursera;IBM
Google Data Analytics;https://www.coursera.org/professional-certificates/google-data-analytics;4.8;176000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;Google
Scikit-Learn For Machine Learning Classification Problems;https://www.coursera.org/projects/scikit-learn-for-machine-learning-classification-problems;4.6;18;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Learning TensorFlow: the Hello World of Machine Learning;https://www.coursera.org/projects/googlecloud-learning-tensorflow-the-hello-world-of-machine-learning-063j7;4.0;20;0;Project · Less Than 2 Hours;Beginner;Coursera;Google Cloud
Machine Learning with Apache Spark;https://www.coursera.org/learn/machine-learning-with-apache-spark;4.5;114;0;Course · 1 - 4 Weeks;Intermediate;Coursera;IBM
Data Science: Statistics and Machine Learning;https://www.coursera.org/specializations/data-science-statistics-machine-learning;4.4;7200;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Johns Hopkins University
Structuring Machine Learning Projects;https://www.coursera.org/learn/machine-learning-projects;4.8;50000;0;Course · 1 - 4 Weeks;Beginner;Coursera;DeepLearning.AI
Unsupervised Learning, Recommenders, Reinforcement Learning;https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning;4.9;5500;0;Course · 1 - 4 Weeks;Beginner;Coursera;DeepLearning.AI
Machine Learning and Reinforcement Learning in Finance;https://www.coursera.org/specializations/machine-learning-reinforcement-finance;3.7;820;0;Specialization · 3 - 6 Months;Intermediate;Coursera;New York University
Fundamentals of Machine Learning for Healthcare;https://www.coursera.org/learn/fundamental-machine-learning-healthcare;4.8;610;0;Course · 1 - 3 Months;Beginner;Coursera;Stanford University
Introduction to Data Science in Python;https://www.coursera.org/learn/python-data-analysis;4.5;27000;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Michigan
Data Analysis with Python;https://www.coursera.org/learn/data-analysis-with-python;4.7;20000;0;Course · 1 - 3 Months;Intermediate;Coursera;IBM
Applied Data Science with Python;https://www.coursera.org/specializations/data-science-python;4.5;34000;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Michigan
SQL for Data Science;https://www.coursera.org/learn/sql-for-data-science;4.6;17000;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of California, Davis
Data Science;https://www.coursera.org/specializations/jhu-data-science;4.5;51000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Johns Hopkins University
Databases and SQL for Data Science with Python;https://www.coursera.org/learn/sql-data-science;4.7;23000;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
Clinical Data Science;https://www.coursera.org/specializations/clinical-data-science;4.5;488;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado System
Statistics for Data Science with Python;https://www.coursera.org/learn/statistics-for-data-science-python;4.5;453;0;Course · 1 - 3 Months;Mixed;Coursera;IBM
What is Data Science?;https://www.coursera.org/learn/what-is-datascience;4.7;77000;0;Course · 1 - 4 Weeks;Beginner;Coursera;IBM
Python for Data Science, AI & Development;https://www.coursera.org/learn/python-for-applied-data-science-ai;4.6;43000;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
Machine Learning With Big Data;https://www.coursera.org/learn/big-data-machine-learning;4.6;2500;0;Course · 1 - 3 Months;Mixed;Coursera;University of California San Diego
Introduction to Applied Machine Learning;https://www.coursera.org/learn/machine-learning-applied;4.7;747;0;Course · 1 - 4 Weeks;Intermediate;Coursera;Alberta Machine Intelligence Institute
Machine Learning Foundations: A Case Study Approach;https://www.coursera.org/learn/ml-foundations;4.6;14000;0;Course · 1 - 3 Months;Mixed;Coursera;University of Washington
Foundations of Machine Learning;https://www.coursera.org/learn/foundations-of-machine-learning;4.5;13;0;Course · 1 - 3 Months;Beginner;Coursera;Fractal Analytics
機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations;https://www.coursera.org/learn/ntumlone-mathematicalfoundations;4.9;937;0;Course · 1 - 3 Months;Beginner;Coursera;National Taiwan University
Data Science Beyond the Basics (ML+DS);https://www.coursera.org/specializations/data-science-beyond-the-basics-ml-and-ds;4.2;25;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Coursera
Genomic Data Science;https://www.coursera.org/specializations/genomic-data-science;4.5;6800;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Johns Hopkins University
Mathematics for Machine Learning;https://www.coursera.org/specializations/mathematics-machine-learning;4.6;15000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Imperial College London
A Crash Course in Data Science;https://www.coursera.org/learn/data-science-course;4.5;8400;0;Course · 1 - 4 Weeks;Beginner;Coursera;Johns Hopkins University
Google Advanced Data Analytics;https://www.coursera.org/professional-certificates/google-advanced-data-analytics;4.8;9900;0;Professional Certificate · 3 - 6 Months;Advanced;Coursera;Google
Data Science Math Skills;https://www.coursera.org/learn/datasciencemathskills;4.5;13000;0;Course · 1 - 4 Weeks;Beginner;Coursera;Duke University
Mathematical Foundations for Data Science and Analytics;https://www.coursera.org/specializations/mathematical-foundations-for-data-science-and-analysis;4.1;7;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of Pittsburgh
Executive Data Science;https://www.coursera.org/specializations/executive-data-science;4.5;11000;0;Specialization · 1 - 3 Months;Beginner;Coursera;Johns Hopkins University
The Power of Statistics;https://www.coursera.org/learn/the-power-of-statistics;4.8;870;0;Course · 1 - 3 Months;Advanced;Coursera;Google
Advanced Statistics for Data Science;https://www.coursera.org/specializations/advanced-statistics-data-science;4.4;786;0;Specialization · 3 - 6 Months;Advanced;Coursera;Johns Hopkins University
Data Science Foundations;https://www.coursera.org/specializations/data-science-foundations;4.6;117000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Multiple educators
Mathematics for Machine Learning and Data Science;https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science;4.6;3100;0;Specialization · 1 - 3 Months;Intermediate;Coursera;DeepLearning.AI
Python Project for Data Science;https://www.coursera.org/learn/python-project-for-data-science;4.5;4800;0;Course · 1 - 4 Weeks;Intermediate;Coursera;IBM
Introduction to Data Science;https://www.coursera.org/specializations/introduction-data-science;4.6;102000;0;Specialization · 3 - 6 Months;Beginner;Coursera;IBM
Python for Everybody;https://www.coursera.org/specializations/python;4.8;280000;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Michigan
Statistics For Data Science;https://www.coursera.org/projects/statistics-data-science;4.0;41;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Data Science Methodology;https://www.coursera.org/learn/data-science-methodology;4.6;21000;0;Course · 1 - 4 Weeks;Beginner;Coursera;IBM
Data Science Fundamentals;https://www.coursera.org/specializations/data-science-fundamentals;4.3;259;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of California, Irvine
Python for Data Science: Real Projects & Analytics;https://www.coursera.org/specializations/python-data-science-real-projects;4.7;30;0;Specialization · 3 - 6 Months;Beginner;Coursera;EDUCBA
Linear Algebra for Machine Learning and Data Science;https://www.coursera.org/learn/machine-learning-linear-algebra;4.6;2300;0;Course · 1 - 4 Weeks;Intermediate;Coursera;DeepLearning.AI
Data Science Coding Challenge: Loan Default Prediction;https://www.coursera.org/projects/data-science-coding-challenge-loan-default-prediction;4.7;108;0;Guided Project · Less Than 2 Hours;Intermediate;Coursera;Coursera
Data Science: Foundations using R;https://www.coursera.org/specializations/data-science-foundations-r;4.6;48000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Johns Hopkins University
Python, SQL, Tableau for Data Science;https://www.coursera.org/professional-certificates/python-sql-tableau-data-science;3.8;22;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;Coursera
Python Programming Essentials;https://www.coursera.org/learn/python-programming;4.8;3600;0;Course · 1 - 4 Weeks;Beginner;Coursera;Rice University
Programming in Python: A Hands-on Introduction;https://www.coursera.org/specializations/hands-on-python;4.5;483;0;Specialization · 3 - 6 Months;Beginner;Coursera;Codio
Applied Data Science;https://www.coursera.org/specializations/applied-data-science;4.6;61000;0;Specialization · 3 - 6 Months;Beginner;Coursera;IBM
IBM Data Analyst;https://www.coursera.org/professional-certificates/ibm-data-analyst;4.6;98000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;IBM
Data Science for Marketing;https://www.coursera.org/specializations/datascienceformarketing;4.9;16;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado System
Data Science Essentials: Analysis, Statistics, and ML;https://www.coursera.org/specializations/packt-data-science-essentials-analysis-statistics-and-ml;4.7;26;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Packt
Data Science Ethics;https://www.coursera.org/learn/data-science-ethics;4.7;1300;0;Course · 1 - 3 Months;Beginner;Coursera;University of Michigan
Data Science at Scale;https://www.coursera.org/specializations/data-science;4.2;923;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Washington
