title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
Human Resources Management and GenAI,Coursera,4.7,319 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/human-resources-management-and-genai,Human Resources,2026-01-28T23:14:28.283440,coursera,319,20.0,1,human resources management and genai,27.11110868023073,139
Compose and Program Music in Python using Earsketch,Coursera,4.5,458 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/compose-program-music-in-python-using-earsketch,Music Production,2026-01-29T02:40:59.659782,coursera,458,0.0,1,compose and program music in python using earsketch,27.58072594527245,770
"Healthcare Innovation, Design, Entrepreneurship",University of Illinois Urbana-Champaign,4.8,8 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/healthcare,Entrepreneurship,2026-01-29T02:36:09.258661,coursera,8,20.0,2,healthcare innovation design entrepreneurship,10.546677971213851,419
Introduction to Archaeology: Knowing The Past,Rice University,4.8,25 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-knowing-the-past,History,2026-01-29T02:48:56.455394,coursera,25,5.0,1,introduction to archaeology knowing the past,15.638863382503114,622
"Psychology of Substance Use, Depressive Disorders, & Trauma",American Psychological Association,4.9,143 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/psychology-of-substance-use-depressive-disorders-and-trauma,Psychology,2026-01-29T02:47:47.909964,coursera,143,20.0,1,psychology of substance use depressive disorders  trauma,24.352085167922404,911
"DevOps, DataOps, MLOps",Duke University,4.1,214 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/devops-dataops-mlops-duke,DevOps,2026-01-29T02:31:43.823063,coursera,214,20.0,3,devops dataops mlops,22.019615915323413,338
Palo Alto Networks Cybersecurity,Palo Alto Networks,4.6,867 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,Cybersecurity,2026-01-29T02:30:27.614385,coursera,867,20.0,1,palo alto networks cybersecurity,31.12448188743761,257
Adobe Lightroom Essentials,Skillshare,4.4,9 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/adobe-lightroom-essentials,Photography,2026-01-28T23:15:07.841505,coursera,9,20.0,1,adobe lightroom essentials,10.131374409173803,208
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.5,17K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,Finance,2026-01-28T23:13:55.643700,coursera,17000,20.0,1,finance  quantitative modeling for analysts,43.83462350176978,82
Unity Procedural Generation & Game Mechanics,EDUCBA,4.8,11 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/unity-procedural-generation-game-mechanics,Game Design,2026-01-29T02:42:57.222564,coursera,11,20.0,2,unity procedural generation  game mechanics,11.9275519189824,504
