title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
Applied Machine Learning,Johns Hopkins University,3.5,14 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/applied-machine-learning,Machine Learning,2026-02-02T19:37:56.257182,coursera,14,40.0,2,applied machine learning,9.478175703857735,0
Machine Learning: Algorithms in the Real World,Alberta Machine Intelligence Institute,4.6,1.1K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/machine-learning-algorithms-real-world,Machine Learning,2026-02-02T19:38:08.726380,coursera,1100,40.0,2,machine learning algorithms in the real world,32.21828102892432,1
Databricks Machine Learning Fundamentals,Coursera,0.0,0 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/databricks-machine-learning-fundamentals,Machine Learning,2026-02-02T19:38:09.354762,coursera,0,10.0,2,databricks machine learning fundamentals,0.0,2
Introduction to Embedded Machine Learning,Edge Impulse,4.8,751 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-embedded-machine-learning,Machine Learning,2026-02-02T19:38:09.420822,coursera,751,10.0,2,introduction to embedded machine learning,31.78913435495923,3
Machine Learning and Reinforcement Learning in Finance,New York University,3.7,820 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/machine-learning-reinforcement-finance,Machine Learning,2026-02-02T19:38:09.634971,coursera,820,40.0,2,machine learning and reinforcement learning in finance,24.828935504973984,4
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,4.9,5.5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning,General,2026-02-02T19:38:09.704919,coursera,5500,10.0,1,unsupervised learning recommenders reinforcement learning,42.20215734708975,5
Structuring Machine Learning Projects,DeepLearning.AI,4.8,50.0K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-projects,Machine Learning,2026-02-02T19:38:09.828096,coursera,50000,10.0,1,structuring machine learning projects,51.93503176420937,6
Machine Learning with Apache Spark,IBM,4.5,114 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-with-apache-spark,Machine Learning,2026-02-02T19:38:09.972189,coursera,114,10.0,2,machine learning with apache spark,21.352194577634627,7
Scikit-Learn For Machine Learning Classification Problems,Coursera,4.6,18 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/scikit-learn-for-machine-learning-classification-problems,Machine Learning,2026-02-02T19:38:10.120839,coursera,18,2.0,1,scikitlearn for machine learning classification problems,13.544419304165624,8
Machine Learning Capstone,IBM,4.7,192 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-capstone,Machine Learning,2026-02-02T19:38:10.198114,coursera,192,20.0,3,machine learning capstone,24.734643887852965,9
