id,platform,title,description,category,skills,instructor,rating,num_reviews,price,level,language,duration,url,image_url,scraped_at
coursera_1,Coursera,"Python for Data Science, AI & Development","Skills you'll gain: Data Import/Export, Programming Principles, Web Scraping, File I/O, Python Programming, Jupyter, Data Structures, Pandas (Python Package), Data Manipulation, JSON, Computer Programming, Restful API, NumPy, Object Oriented Programming (OOP), Application Programming Interface (API), Automation, Data Analysis",Data Science,"data, science",IBM,,43000.0,Free,Beginner,English,,https://www.coursera.org/learn/python-for-applied-data-science-ai,,2026-01-29T14:46:29.495030
coursera_2,Coursera,What is Data Science?,"Skills you'll gain: Data Literacy, Data Mining, Big Data, Cloud Computing, Data Analysis, Data Science, Digital Transformation, Data-Driven Decision-Making, Deep Learning, Machine Learning, Artificial Intelligence",Data Science,"data, science",IBM,,77000.0,Free,Beginner,English,,https://www.coursera.org/learn/what-is-datascience,,2026-01-29T14:46:29.742233
coursera_3,Coursera,IBM Data Science,"Skills you'll gain: Exploratory Data Analysis, Dashboard, Data Visualization Software, Data Visualization, Model Evaluation, SQL, Unsupervised Learning, Interactive Data Visualization, Data Transformation, Supervised Learning, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Plotly, Data Mining, Generative AI, Professional Networking, Data Import/Export",Data Science,"data, science",IBM,,149000.0,Free,Beginner,English,,https://www.coursera.org/professional-certificates/ibm-data-science,,2026-01-29T14:46:30.003016
coursera_4,Coursera,Foundations of Data Science,"Skills you'll gain: Data Storytelling, Data Ethics, Data-Driven Decision-Making, Analytics, Workflow Management, Business Analytics, Data Science, Project Design, Data Visualization Software, Project Management, Communication, Stakeholder Communications",Data Science,"data, science",Google,,3800.0,Free,Advanced,English,,https://www.coursera.org/learn/foundations-of-data-science,,2026-01-29T14:46:30.223207
coursera_5,Coursera,Databases and SQL for Data Science with Python,"Skills you'll gain: SQL, Relational Databases, Stored Procedure, Databases, Query Languages, Jupyter, Data Manipulation, Data Analysis, Pandas (Python Package), Transaction Processing, Python Programming",Data Science,"data, science",IBM,,23000.0,Free,Beginner,English,,https://www.coursera.org/learn/sql-data-science,,2026-01-29T14:46:30.423484
coursera_6,Coursera,Data Science,"Skills you'll gain: Shiny (R Package), Rmarkdown, Exploratory Data Analysis, Model Evaluation, Regression Analysis, Version Control, Statistical Analysis, R Programming, Data Manipulation, Data Cleansing, Data Science, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Machine Learning Algorithms, Plotly, Plot (Graphics), Interactive Data Visualization, Machine Learning, GitHub",Data Science,"data, science",Johns Hopkins University,,51000.0,Free,Beginner,English,,https://www.coursera.org/specializations/jhu-data-science,,2026-01-29T14:46:30.635079
coursera_7,Coursera,Data Analysis with Python,"Skills you'll gain: Exploratory Data Analysis, Model Evaluation, Data Transformation, Data Analysis, Data Cleansing, Data Manipulation, Data Import/Export, Predictive Modeling, Data Preprocessing, Regression Analysis, Data Science, Statistical Analysis, Pandas (Python Package), Scikit Learn (Machine Learning Library), Data-Driven Decision-Making, Matplotlib, Data Visualization, NumPy, Python Programming",Data Science,"data, science",IBM,,20000.0,Free,Intermediate,English,,https://www.coursera.org/learn/data-analysis-with-python,,2026-01-29T14:46:30.833852
coursera_8,Coursera,Introduction to Data Science,"Skills you'll gain: SQL, Jupyter, Data Literacy, Data Mining, Data Modeling, Relational Databases, Stored Procedure, Model Deployment, Databases, Data Science, Big Data, Computer Programming Tools, Query Languages, GitHub, Data Preprocessing, Data Cleansing, R (Software), Cloud Computing, Data Analysis, Python Programming",Data Science,"data, science",IBM,,102000.0,Free,Beginner,English,,https://www.coursera.org/specializations/introduction-data-science,,2026-01-29T14:46:31.039435
coursera_9,Coursera,Applied Data Science with Python,"Skills you'll gain: Matplotlib, Network Analysis, Social Network Analysis, Feature Engineering, Data Visualization, Pandas (Python Package), Data Visualization Software, Interactive Data Visualization, Model Evaluation, Scientific Visualization, Applied Machine Learning, Supervised Learning, Text Mining, Visualization (Computer Graphics), Data Manipulation, NumPy, Graph Theory, Data Preprocessing, Natural Language Processing, Python Programming",Data Science,"data, science",University of Michigan,,34000.0,Free,Intermediate,English,,https://www.coursera.org/specializations/data-science-python,,2026-01-29T14:46:31.254709
coursera_10,Coursera,SQL for Data Science,"Skills you'll gain: Data Governance, SQL, Data Management, Data Quality, Database Design, Query Languages, Data Literacy, Data Manipulation, Data Modeling, Relational Databases, Data Science, Databases, Data Analysis, Data Transformation",Data Science,"data, science","University of California, Davis",,17000.0,Free,Beginner,English,,https://www.coursera.org/learn/sql-for-data-science,,2026-01-29T14:46:31.480532
